,SE-Area,SE-Prob,Task Id,Task Name,,Multi-class? def: Binary,Openness of labels set,Multi-label? def: Single-label,Soft (probability)? def: Hard,Granularity,Explained?,Type of question wrt Vuls,Mult/Openness VulSet,Few-Shot,ReAct,CoT,ToT,RAG,Infiller,FeedbackLoop,Self-Validation,LLM-Downstream Task Class,LLM-Task Category
89,1 - Testing,12 - Functional Testing,TARGET_1,\exec{DSLValid\&TryToUseGivenElements-RuleConsistent-Scenario-Generation},#NAME?,,,,,,,,,1,,,,,,,,19 - Plan Generation,5 - Executive
88,1 - Testing,11 - GUI Testing,AXNav_4,\exec{StepOutcomeCorresponding-Plan-Correction},#NAME?,,,,,,,,,,,,,,,,,19 - Plan Generation,5 - Executive
90,1 - Testing,12 - Functional Testing,TARGET_2,\exec{RuleInconsistencies-Scenario-Correction},#NAME?,,,,,,,,,,,,,,,,,19 - Plan Generation,5 - Executive
224,3 - Vulnerability/Misuse/Fault Detection,21 - Vulnerability Detection for Smart Contracts,LLM4Vuln_3(exploit),\texec{Proof of Concept exploit},#NAME?,,,,,,,,,,,,,,,,,19 - Plan Generation,5 - Executive
100,1 - Testing,12 - Functional Testing,SysKG-UTF_4,\exec{FeasibilityAware-StepsToReproduce-Refinement},#NAME?,,,,,,,,,1,,1,,,,,,19 - Plan Generation,5 - Executive
98,1 - Testing,12 - Functional Testing,SysKG-UTF_2,\exec{StepsToReproduce-Refinement},#NAME?,,,,,,,,,1,,,,,,,,19 - Plan Generation,5 - Executive
86,1 - Testing,11 - GUI Testing,AXNav_2,\exec{Plan-Refinement},#NAME?,,,,,,,,,,,1,,,,,,19 - Plan Generation,5 - Executive
107,1 - Testing,13 - Penetration Testing,PentestGPT_7,\exec{Plan-Refinement},#NAME?,,,,,,,,,,,1,,,,,,19 - Plan Generation,5 - Executive
143,2 - Debugging,15 - Bug Reproduction,AdbGPT_2,\exec{Plan-Refinement},#NAME?,,,,,,,,,1,,1,,,,,,19 - Plan Generation,5 - Executive
187,3 - Vulnerability/Misuse/Fault Detection,19 - Vulnerability Detection,DLAP_2,\exec{Plan-Refinement},#NAME?,,,,,,,,,,,,,,,,,19 - Plan Generation,5 - Executive
110,1 - Testing,13 - Penetration Testing,pwn’d_2,\exec{ReachabilityOriented-NextAction-Generation},#NAME?,,,,,,,,,,,,,,,,,20 - What-to-do-Next Generation,5 - Executive
144,2 - Debugging,15 - Bug Reproduction,CrashTranslator_1,\exec{ReachabilityOriented-NextNode-Selection},#NAME?,,,,,,,,,,,,,,,,,20 - What-to-do-Next Generation,5 - Executive
105,1 - Testing,13 - Penetration Testing,PentestGPT_5,\exec{MostPromising-NextTask-Selection},#NAME?,,,,,,,,,,,,,,,,,20 - What-to-do-Next Generation,5 - Executive
84,1 - Testing,11 - GUI Testing,GPTDroid,\exec{FunctionCoverageOriented-NextAction-Selection},#NAME?,,,,,,,,,1,,,,,,,,20 - What-to-do-Next Generation,5 - Executive
145,2 - Debugging,15 - Bug Reproduction,CrashTranslator_2,\exec{ReachabilityOrientedWithSuggestedNextNode-NextAction-Selection} ,#NAME?,,,,,,,,,,,,,,,,,20 - What-to-do-Next Generation,5 - Executive
12,1 - Testing,01 - Unit Test Generation,TestChain_2,\gen{IntentionCorresponding-Result-Generation},#NAME?,,,,,,,,,,1,1,,,,,,21 - Execution,5 - Executive
246,4 - Static Analysis,26 - Taint Analysis,E&V_1,\exec{Step-Computation},#NAME?,,,,,,,,,,,,,,,,,21 - Execution,5 - Executive
149,2 - Debugging,17 - Fault Localization,SELF-DEBUGGING_FL(CoT),\texec{trace execution},#NAME?,FALSE,,,,,NotExplained,,,,,,,,,,,21 - Execution,5 - Executive
121,1 - Testing,14 - Oracle Problem,SELF-DEBUGGING_OP7(CoT),\texec{assertion execution},#NAME?,,,,,,,,,,,,,,,,,21 - Execution,5 - Executive
102,1 - Testing,13 - Penetration Testing,PentestGPT_2,\exec{Elements-Update},#NAME?,,,,,,,,,,,,,,,,,22 - Textual Data Manipulation,5 - Executive
72,1 - Testing,09 - Protocol/Parser Fuzzing,FuzzingParsers_5,\exec{Data-Fusing},#NAME?,,,,,,,,,,,,,,,,,22 - Textual Data Manipulation,5 - Executive
231,4 - Static Analysis,22 - Call-Graph/CFG Construction,CFG-Chain_4,\exec{CFG-Fusion} ,#NAME?,,,,,,,,,1,,,,,,,,22 - Textual Data Manipulation,5 - Executive
104,1 - Testing,13 - Penetration Testing,PentestGPT_4,\exec{RulesSatisfying-Information-Extraction},#NAME?,,,,,,,,,,,,,,,,,22 - Textual Data Manipulation,5 - Executive
91,1 - Testing,12 - Functional Testing,TARGET_3,\exec{InListCloseMeaning-Elements-Replacement},#NAME?,,,,,,,,,,,,,,,,,22 - Textual Data Manipulation,5 - Executive
198,3 - Vulnerability/Misuse/Fault Detection,20 - Line-level Fault/API Misuse Prediction,EditTime_2,\cons{Example-Recall},#NAME?,,,,,,,,,,,,,,,,,23 - Knowledge Distillation,6 - Consultative
69,1 - Testing,09 - Protocol/Parser Fuzzing,FuzzingParsers_2,\cons{New-ExampleOfThing-Recall},#NAME?,,,,,,,,,,,,,,,,,23 - Knowledge Distillation,6 - Consultative
197,3 - Vulnerability/Misuse/Fault Detection,20 - Line-level Fault/API Misuse Prediction,EditTime_1,\cons{Definition-Recall},#NAME?,,,,,,,,,,,,,,,,,23 - Knowledge Distillation,6 - Consultative
192,3 - Vulnerability/Misuse/Fault Detection,19 - Vulnerability Detection,MultiTask_4,\cons{AssociatedVulnerability-Description-Recall},#NAME?,,,,,,,,,,,,,,,,,23 - Knowledge Distillation,6 - Consultative
73,1 - Testing,09 - Protocol/Parser Fuzzing,ChatAFL_1,\cons{ProtocolGrammar-Recall},#NAME?,,,,,,,,,1,,,,,,,,23 - Knowledge Distillation,6 - Consultative
70,1 - Testing,09 - Protocol/Parser Fuzzing,FuzzingParsers_3,\cons{ParsingErrors-Recall},#NAME?,,,,,,,,,,,,,,,,,23 - Knowledge Distillation,6 - Consultative
68,1 - Testing,09 - Protocol/Parser Fuzzing,FuzzingParsers_1,\cons{StructureOfObject-Recall},#NAME?,,,,,,,,,,,,,,,,,23 - Knowledge Distillation,6 - Consultative
